a b r o
2.0 4.75 0.9325925925925926 6.757794513139446
2.0 5.0 0.9388148148148148 6.866472257187113
2.0 5.25 0.951851851851852 7.052252793369638
2.0 5.5 0.9472592592592592 7.125581841445663
2.0 5.75 0.9637777777777778 7.263644199590488
2.0 6.0 0.9615555555555555 7.392186074498328
2.0 6.25 0.9637777777777778 7.527542199302777
2.0 6.5 0.9736296296296296 7.630737886842534
2.0 6.75 0.9777037037037037 7.8460797752899945
2.0 3.0 0.5320740740740741 3.9896225671532126
2.0 3.25 0.6990370370370371 5.028057778292567
2.0 3.5 0.8051111111111111 5.567286134224948
2.0 3.75 0.8523703703703704 5.913792051523305
2.0 4.0 0.8769629629629629 6.189425448548416
2.0 4.25 0.8986666666666667 6.363588696296005
2.0 4.5 0.9157037037037037 6.605100976648067
2.0 3.0 0.5691851851851852 4.121189896296084
2.0 6.75 0.9865185185185186 7.711579081237451
