alpha beta time_T step_T
2.0 3.0 39.71 147120.0
2.0 3.25 48.01 143307.69
2.0 3.5 58.08 140384.62
2.0 3.75 71.49 138074.07
2.0 4.0 88.19 137407.41
2.0 4.25 111.05 139703.7
2.0 4.5 139.05 141076.92
2.0 4.75 179.21 145120.0
2.0 5.0 233.04 149680.0
2.0 5.25 310.14 157478.26
2.0 5.5 421.23 167181.82
2.0 5.75 586.16 179500.0
2.0 6.0 816.03 192000.0
2.0 6.25 1241.53 217750.0
2.0 6.5 1988.04 252857.14
2.0 6.75 3257.38 298909.09
2.0 7.0 5353.23 350222.22
2.0 7.25 8956.02 421428.57
2.0 7.5 31227.43 958000.0
2.0 7.75 nan nan
2.0 8.0 nan nan
2.0 2.875 36.17 150160.0
2.0 3.125 43.75 145760.0
2.0 3.375 52.93 141461.54
2.0 3.625 64.43 139111.11
2.0 3.875 78.82 137925.93
2.0 4.125 98.73 138592.59
2.0 4.375 124.97 140461.54
2.0 4.625 158.74 143384.62
2.0 4.875 202.37 146000.0
2.0 5.125 267.47 152750.0
2.0 5.375 357.69 161304.35
2.0 5.625 491.17 172285.71
2.0 5.875 699.19 187473.68
2.0 6.125 1024.82 207764.71
2.0 6.375 1551.73 232666.67
2.0 6.625 2586.64 278166.67
2.0 6.875 3811.24 303000.0
2.0 7.125 7488.75 407250.0
2.0 7.375 11029.14 449333.33
2.0 7.625 40350.08 1068000.0
2.0 7.25 9670.79 448000.0
2.0 7.375 28012.31 970000.0
2.0 7.5 nan nan
2.0 7.625 nan nan
2.0 2.875 36.37 150000.0
2.0 3.0 39.62 146880.0
2.0 3.125 43.65 144923.08
2.0 3.25 47.84 143230.77
2.0 3.375 52.67 140769.23
2.0 3.5 57.93 139111.11
2.0 3.625 64.83 139925.93
2.0 3.75 71.42 138740.74
2.0 3.875 79.96 138814.81
2.0 4.0 89.08 138814.81
2.0 4.125 98.82 138962.96
2.0 4.25 110.35 138962.96
2.0 4.375 123.94 140384.62
2.0 4.5 140.19 141538.46
2.0 4.625 157.79 143000.0
2.0 4.75 179.31 145040.0
2.0 4.875 205.86 148480.0
2.0 5.0 234.93 150750.0
2.0 5.125 269.57 154000.0
2.0 5.25 310.42 157478.26
2.0 5.375 360.98 161913.04
2.0 5.5 419.83 167454.55
2.0 5.625 487.28 171333.33
2.0 5.75 576.3 177700.0
2.0 5.875 702.44 188315.79
2.0 6.0 826.69 194444.44
2.0 6.125 1008.18 206117.65
2.0 6.25 1210.44 213411.76
2.0 6.375 1551.48 232933.33
2.0 6.5 1971.61 252000.0
2.0 6.625 2428.12 266307.69
2.0 6.75 3145.19 290909.09
2.0 6.875 4278.04 329800.0
2.0 7.0 5908.72 378000.0
2.0 7.125 8523.48 451142.86
2.0 7.25 12031.41 532800.0
2.0 7.375 14043.22 541600.0
2.0 7.5 21793.27 699333.33
2.0 7.625 19514.95 574000.0
2.0 7.65 nan nan
2.0 7.675 40359.42 1014000.0
2.0 7.7 nan nan
2.0 7.725 76367.98 1724000.0
2.0 7.75 nan nan
